demand_electricity,pv,delta_battery,heat_pump,import,export_pv
-3.047916667,0.425,0.0,-2.3,4.922916667,0.0
-3.914166667,2.176,0.0,-2.3,4.038166667,0.0
-5.454625,3.4170000000000003,0.0,-2.3,4.337624999999999,0.0
-5.234625,4.437,0.0,-2.3,3.097625,0.0
-5.50825,3.8760000000000003,0.0,-2.3,3.93225,0.0
-7.75775,3.094,0.0,-2.3,6.96375,0.0
-11.011,2.822,0.0,-2.3,10.489,0.0
-10.34275,1.751,0.0,-2.3,10.891750000000002,0.0
-5.696166667,0.11900000000000001,0.0,-2.3,7.877166667,0.0
-5.74475,0.0,0.0,-2.3,8.04475,0.0
-7.403,0.0,0.0,-2.3,9.703,0.0
-10.2135,0.0,0.0,-2.3,12.5135,0.0
-11.95333333,0.0,0.0,-2.3,14.25333333,0.0
-9.112583333,0.0,0.0,-2.3,11.412583333,0.0
-8.833916667,0.0,0.0,-2.3,11.133916667000001,0.0
-6.970333333,0.0,0.0,-2.3,9.270333333,0.0
-4.586083333,0.0,0.0,-2.3,6.886083333,0.0
-4.091083333,0.0,0.0,-1.662872678,5.7539560110000005,0.0
-3.332083333,0.0,0.0,-2.26514235025,5.5972256832500005,0.0
-2.09275,0.0,0.0,-0.91666666675,3.00941666675,0.0
-2.075791667,0.0,0.0,-1.06060300575,3.13639467275,0.0
-1.815458333,0.0,0.0,-0.60226967225,2.4177280052500003,0.0
-1.98275,0.0,0.0,-0.0,1.9827499999999998,0.0
-1.921333333,0.0,0.0,-2.3,4.221333333,0.0
-2.471333333,0.8245,0.0,-2.3,3.946833333,0.0
-3.884833333,1.768,0.0,-2.3,4.416833333,0.0
-5.38725,2.5244999999999997,0.0,-2.3,5.16275,0.0
-5.687916667,3.1705,0.0,-2.3,4.817416667,0.0
-7.029916667,3.145,0.0,-2.3,6.1849166669999995,0.0
-8.072166667,3.0685,0.0,-2.3,7.303666666999999,0.0
-10.45,2.21,0.0,-2.3,10.54,0.0
-7.942916667,0.6970000000000001,0.0,-2.3,9.545916667,0.0
-8.628583333,0.017,0.0,-2.3,10.911583333,0.0
-6.567916667,0.0,0.0,-2.3,8.867916667,0.0
-5.696166667,0.0,0.0,-2.3,7.996166667,0.0
-5.504583333,0.0,0.0,-2.3,7.804583333,0.0
-8.767916667,0.0,0.0,-2.3,11.067916666999999,0.0
-10.62325,0.0,0.0,-2.3,12.92325,0.0
-6.530333333,0.0,0.0,-2.3,8.830333332999999,0.0
-5.071916667,0.0,0.0,-2.3,7.371916667,0.0
-4.62275,0.0,0.0,-2.3,6.92275,0.0
-4.34225,0.0,0.0,-2.3,6.64225,0.0
-3.946708333,0.0,0.0,-1.06060300575,5.00731133875,0.0
-2.231625,0.0,0.0,-0.22916666675,2.46079166675,0.0
-2.441083333,0.0,0.0,-0.0,2.441083333,0.0
-1.912166667,0.0,0.0,-0.0,1.912166667,0.0
-2.071666667,0.0,0.0,-0.0,2.071666667,0.0
-1.93875,0.0,0.0,-2.3,4.23875,0.0
-3.597,2.0229999999999997,0.0,-2.3,3.874,0.0
-3.873833333,4.114,-0.24016666700000008,-2.3,2.3,0.0
-3.413666667,5.3549999999999995,-1.941333332999999,-2.3,2.3,0.0
-6.392833333,5.9925,0.40033333299999996,-2.3,2.3,0.0
-7.522166667,6.052,1.3666816669999995,-2.3,2.4034850000000003,0.0
-11.55870833,5.559,0.0,-2.3,8.29970833,0.0
-13.53595833,4.4624999999999995,0.0,-2.3,11.373458330000002,0.0
-9.816583333,2.5755,0.0,-2.3,9.541083333,0.0
-5.82175,0.23800000000000002,0.0,-2.3,7.883749999999999,0.0
-4.497166667,0.0,0.0,-2.3,6.797166667,0.0
-6.160916667,0.0,0.0,-2.3,8.460916667,0.0
-7.355333333,0.0,0.0,-2.3,9.655333332999998,0.0
-7.645,0.0,0.0,-2.3,9.945,0.0
-10.10716667,0.0,0.0,-2.3,12.407166669999999,0.0
-8.196833333,0.0,0.0,-2.3,10.496833333000001,0.0
-6.776916667,0.0,0.0,-2.3,9.076916666999999,0.0
-4.946333333,0.0,0.0,-2.3,7.246333333,0.0
-3.991166667,0.0,0.0,-2.3,6.291166667,0.0
-3.221166667,0.0,0.0,-0.22916666675,3.4503333337499997,0.0
-2.790333333,0.0,0.0,-1.4337060115,4.2240393444999995,0.0
-1.868166667,0.0,0.0,-0.0,1.868166667,0.0
-2.09275,0.0,0.0,-0.0,2.09275,0.0
-1.93875,0.0,0.0,-0.0,1.9387500000000002,0.0
-2.033166667,0.0,0.0,-2.3,4.333166667,0.0
-3.09375,2.3545000000000003,0.0,-2.3,3.0392499999999996,0.0
-6.66875,4.471,0.0,-2.3,4.49775,0.0
-5.449583333,5.7375,-0.28791666700000007,-2.3,2.3,0.0
-4.714875,6.3665,-1.651625,-2.3,2.3,0.0
-5.637041667,6.4174999999999995,-0.7804583329999993,-2.3,2.3,0.0
-6.214083333,5.924499999999999,0.2895833330000002,-2.3,2.3,0.0
-8.29675,4.827999999999999,1.9136166669999994,-2.3,3.8551333330000004,0.0
-9.18775,2.8305,0.0,-2.3,8.65725,0.0
-7.91175,0.17,0.0,-2.3,10.04175,0.0
-6.699916667,0.0,0.0,-2.3,8.999916667,0.0
-7.557,0.0,0.0,-2.3,9.857,0.0
-8.745916667,0.0,0.0,-2.3,11.045916667,0.0
-9.467333333,0.0,0.0,-2.3,11.767333333,0.0
-9.284458333,0.0,0.0,-2.3,11.584458333,0.0
-8.375125,0.0,0.0,-2.3,10.675125000000001,0.0
-5.082,0.0,0.0,-2.3,7.382,0.0
-5.644833333,0.0,0.0,-2.3,7.944833333,0.0
-3.348583333,0.0,0.0,-1.06060300575,4.4091863387500005,0.0
-2.572166667,0.0,0.0,-0.91666666675,3.4888333337499997,0.0
-2.148666667,0.0,0.0,-1.06060300575,3.20926967275,0.0
-2.013,0.0,0.0,-0.22916666675,2.2421666667499998,0.0
-2.017583333,0.0,0.0,-0.0,2.017583333,0.0
-2.113833333,0.0,0.0,-1.662872678,3.776706011,0.0
-2.229333333,0.0,0.0,-2.3,4.529333333,0.0
-2.977333333,0.935,0.0,-2.3,4.342333332999999,0.0
-4.00675,2.6094999999999997,0.0,-2.3,3.6972500000000004,0.0
