demand_heat,heat_pump,boiler,district_heating_industry
-85.48482405,9.2,15.8,60.48482405
-77.36355082,9.2,15.8,52.36355082
-91.818023,9.2,15.8,66.818023
-69.21964809,9.2,15.8,44.21964809000001
-68.30298142,9.2,15.8,43.302981419999995
-72.20447214,9.2,15.8,47.20447213999999
-61.65149072,9.2,15.8,36.65149072
-55.12872678,9.2,15.8,30.128726780000004
-85.71964809,9.2,15.8,60.71964809000001
-69.21964809,9.2,15.8,44.21964809000001
-70.13631476,9.2,15.8,45.136314760000005
-64.97723607,9.2,15.8,39.977236070000004
-87.57561093,9.2,15.8,62.575610929999996
-60.15907869,9.2,15.8,35.15907869
-62.22723607,9.2,15.8,37.227236070000004
-57.98482405,9.2,15.8,32.98482405
-13.40907869,9.2,4.20907869,0.0
-8.825745356,8.825745356,0.0,0.0
-6.651490712,6.651490712,0.0,0.0
