demand_electricity,electricity_balance,pv,heat_pump,supply_grid_power
-0.0,-0.12519898109504446,0.0,-1.4070000000000011,0.0
-0.0,-2.9751937410999916,0.0,-4.1808,0.0
-0.0,-2.542577836756201,0.0,-2.3202100000000008,0.0
-0.0,-2.731639890098653,0.0,-1.5048199999999992,0.0
-0.0,-6.22972322342536,0.0,-8.90899,0.0
-0.0,-4.16813989009097,0.0,-0.0,0.0
-0.0,-5.305806556763593,0.0,-0.4341599999999998,0.0
-0.0,-5.6400565567588785,0.0,-0.43483000000000066,0.0
-0.0,-6.193056556762313,0.0,-7.279550000000002,0.0
-0.0,-3.5938065567679587,0.0,-0.0,0.0
-0.0,-2.9108065567561425,0.0,-0.0,0.0
-0.0,-2.4481398900934437,0.0,-0.0,0.0
-0.0,-1.700139890101127,0.0,-0.0,0.0
-0.0,-1.616139890087652,0.0,-0.0,0.0
-0.0,-1.5588065567608282,0.0,-0.0,0.0
-0.0,-1.657473223433044,0.0,-0.0,0.0
-0.0,-1.5601398900871573,0.0,-0.0,0.0
-0.0,-1.489806556764961,0.0,-0.0,0.0
-0.0,-3.4690565567583542,0.0,-3.1898699999999995,0.0
-0.0,-4.546740646093909,0.0,-2.5547099999999996,0.0
-0.0,-8.047279422768774,0.0,-13.231830000000002,0.0
-0.0,-10.92364915875687,0.0,-20.8236,0.0
-0.0,-3.101840744761352,0.0,-3.12756,0.0
-0.0,-1.3339117660939968,0.0,-3.4953899999999996,0.0
-0.0,-1.8790927580986825,0.0,-4.137919999999999,0.0
-0.0,-7.158576666757249,0.0,-13.753090000000002,0.0
-0.0,-4.3122746280952775,0.0,-6.30805,0.0
-0.0,-4.213139890094229,0.0,-6.1077200000000005,0.0
-0.0,-5.242889890094316,0.0,-5.707729999999999,0.0
-0.0,-3.3721398900925124,0.0,-0.0,0.0
-0.0,-6.286806556759984,0.0,-0.0,0.0
-0.0,-6.7183065567625455,0.0,-2.9413000000000005,0.0
-0.0,-7.606806556766095,0.0,-9.487199999999998,0.0
-0.0,-7.146056556754891,0.0,-8.39979,0.0
-0.0,-3.8651398900983622,0.0,-0.0,0.0
-0.0,-2.9544732234280673,0.0,-0.0,0.0
-0.0,-1.5861398900924542,0.0,-0.0,0.0
-0.0,-1.6018065567586746,0.0,-0.0,0.0
-0.0,-1.6221398900961503,0.0,-0.0,0.0
-0.0,-1.6468065567642043,0.0,-0.0,0.0
-0.0,-1.5211398900937638,0.0,-0.0,0.0
-0.0,-1.8514732234252733,0.0,-0.0,0.0
-0.0,-11.740973223431386,0.0,-25.083460000000002,0.0
-0.0,-6.344117602763738,0.0,-11.59301,0.0
-0.0,-5.369077485089601,0.0,-8.357579999999999,0.0
-0.0,-3.902936994099293,0.0,-5.875229999999999,0.0
-0.0,-3.229240374097373,0.0,-5.323150000000001,0.0
-0.0,0.5636089275725142,0.0,-0.0,0.0
-0.0,-0.7563848070892236,0.0,-3.1034400000000013,0.0
-0.0,-5.222392181760508,0.0,-9.314340000000001,0.0
-0.0,-2.7036515090962965,0.0,-2.0321100000000007,0.0
-0.0,-2.14247322342635,0.0,-0.0,0.0
-0.0,-7.921056556761904,0.0,-10.910949999999998,0.0
-0.0,-5.4122232234286205,0.0,-2.3202100000000008,0.0
-0.0,-19.425473223430163,0.0,-34.304,0.0
-0.0,-4.207139890095277,0.0,-0.0,0.0
-0.0,-5.397139890087361,0.0,-4.250480000000001,0.0
-0.0,-3.036473223430221,0.0,-0.0,0.0
-0.0,-2.901806556761585,0.0,-0.0,0.0
-0.0,-2.7531398901010107,0.0,-0.0,0.0
-0.0,-1.4518065567535814,0.0,-0.0,0.0
-0.0,-1.5428065567684826,0.0,-0.0,0.0
-0.0,-1.507473223424313,0.0,-0.0,0.0
-0.0,-1.4781398900959175,0.0,-0.0,0.0
-0.0,-1.4928065567619342,0.0,-0.0,0.0
-0.0,-1.5874732234224211,0.0,-0.0,0.0
-0.0,-1.8571398900967324,0.0,-0.0,0.0
-0.0,-6.819565991762516,0.0,-13.814060000000003,0.0
-0.0,-5.641159225429231,0.0,-10.198069999999998,0.0
-0.0,-0.15092192309259955,0.0,-0.0,0.0
-0.0,-1.8060014480922213,0.0,-0.025460000000000173,0.0
-0.0,0.17638487257076818,0.0,-0.10385000000000076,0.0
-0.0,-1.6991009867594897,0.0,-0.0,0.0
-0.0,-5.169545791433743,0.0,-10.19539,0.0
-0.0,-2.377557679755124,0.0,-0.0,0.0
-0.0,-3.703639890093764,0.0,-0.1541000000000003,0.0
-0.0,-3.588473223429901,0.0,-0.0,0.0
-0.0,-6.287056556760974,0.0,-0.7055100000000006,0.0
-0.0,-7.300139890092396,0.0,-0.0,0.0
-0.0,-3.6458065567640006,0.0,-0.0,0.0
-0.0,-8.591973223430104,0.0,-12.4017,0.0
-0.0,-5.863973223425244,0.0,-4.10174,0.0
-0.0,-2.776806556765223,0.0,-0.0,0.0
-0.0,-2.3284732234242256,0.0,-0.0,0.0
-0.0,-1.5688065567592275,0.0,-0.0,0.0
-0.0,-1.4838065567637386,0.0,-0.0,0.0
-0.0,-1.3364732234294934,0.0,-0.0,0.0
-0.0,-1.4301398900934146,0.0,-0.0,0.0
-0.0,-1.4104732234263793,0.0,-0.0,0.0
-0.0,-1.5604732234314724,0.0,-0.0,0.0
-0.0,-9.455973223426874,0.0,-20.07186,0.0
-0.0,-11.837745960425012,0.0,-26.690790000000003,0.0
-0.0,-9.173363844762138,0.0,-20.07186,0.0
-0.0,-3.1407985597605372,0.0,-0.0,0.0
-0.0,-2.2858061904301916,0.0,-0.0,0.0
-0.0,1.4940446415710307,0.0,-0.0,0.0
-0.0,1.3431119399061773,0.0,-0.3289699999999998,0.0
-0.0,-4.297191184425244,0.0,-3.4062799999999998,0.0
-0.0,-2.820997577432287,0.0,-0.0,0.0
-0.0,-5.502473223423294,0.0,-0.0,0.0
-0.0,-4.4891398900945205,0.0,-0.0,0.0
-0.0,-6.265389890094142,0.0,-2.3724700000000003,0.0
-0.0,-24.633806556759403,0.0,-52.479760000000006,0.0
-0.0,-11.121723223428475,0.0,-15.517870000000002,0.0
-0.0,-3.9341398900942295,0.0,-0.0,0.0
-0.0,-4.787139890094113,0.0,-3.4839999999999995,0.0
-0.0,-4.0001398900967615,0.0,-0.0,0.0
-0.0,-4.0781398900981,0.0,-0.0,0.0
-0.0,-2.4138065567603917,0.0,-0.0,0.0
-0.0,-1.5601398900871573,0.0,-0.0,0.0
-0.0,-1.4188065567686863,0.0,-0.0,0.0
-0.0,-1.617473223424895,0.0,-0.0,0.0
-0.0,-1.4548065567651065,0.0,-0.0,0.0
-0.0,-1.790473223427398,0.0,-0.0,0.0
-0.0,-2.241639890098682,0.0,-0.1433799999999991,0.0
-0.0,-2.4692891340891068,0.0,-0.8797099999999993,0.0
-0.0,-3.002706162431094,0.0,-3.0491699999999993,0.0
-0.0,-1.68349965042376,0.0,-0.0,0.0
-0.0,-3.5769831360928324,0.0,-0.0,0.0
-0.0,1.9910955802391133,0.0,-0.0,0.0
-0.0,1.0213155815706516,0.0,-0.0,0.0
-0.0,-1.06394376909551,0.0,-0.0,0.0
-0.0,-3.28723325609583,0.0,-2.052209999999999,0.0
-0.0,-12.273723223428183,0.0,-25.11763,0.0
-0.0,-2.4728065567578597,0.0,-0.0,0.0
-0.0,-4.066806556762458,0.0,-0.0,0.0
-0.0,-11.735973223423672,0.0,-20.09866,0.0
-0.0,-4.889139890099614,0.0,-0.0,0.0
-0.0,-6.820806556757715,0.0,-4.858840000000002,0.0
-0.0,-20.547973223433132,0.0,-43.44682,0.0
-0.0,-3.3994732234277762,0.0,-0.0,0.0
-0.0,-2.112139890094113,0.0,-0.0,0.0
-0.0,-1.7281398900922795,0.0,-0.0,0.0
-0.0,-1.5454732234320545,0.0,-0.0,0.0
-0.0,-1.5944732234274852,0.0,-0.0,0.0
-0.0,-1.471806556761294,0.0,-0.0,0.0
-0.0,-1.596806556761294,0.0,-0.0,0.0
-0.0,-1.6494732234205003,0.0,-0.0,0.0
-0.0,-19.166139890098567,0.0,-44.68900000000001,0.0
-0.0,-1.7421068200965286,0.0,-0.0,0.0
-0.0,-7.284108834758907,0.0,-13.54941,0.0
-0.0,-1.6210247930914359,0.0,-1.1088500000000008,0.0
-0.0,-1.7680370650980999,0.0,-2.1493599999999993,0.0
-0.0,-0.061247598428648686,0.0,-0.0,0.0
-0.0,-2.025250046761556,0.0,-0.0,0.0
-0.0,-3.1681747650932692,0.0,-3.928880000000001,0.0
-0.0,-2.165272123100283,0.0,-0.0,0.0
-0.0,-2.6604732234227413,0.0,-0.0,0.0
-0.0,-5.850389890093792,0.0,-7.534149999999999,0.0
-0.0,-6.030139890095597,0.0,-0.0,0.0
-0.0,-6.534056556759315,0.0,-0.7671499999999998,0.0
-0.0,-6.673806556766067,0.0,-0.0,0.0
-0.0,-5.870139890092105,0.0,-0.0,0.0
-0.0,-5.599556556763739,0.0,-3.995210000000001,0.0
-0.0,-3.142473223422712,0.0,-0.0,0.0
-0.0,-2.668473223428009,0.0,-0.0,0.0
-0.0,-1.6511398900911445,0.0,-0.0,0.0
-0.0,-1.5288065567619924,0.0,-0.0,0.0
-0.0,-1.5028065567676094,0.0,-0.0,0.0
-0.0,-1.5674732234292605,0.0,-0.0,0.0
-0.0,-1.6578065567628073,0.0,-0.0,0.0
-0.0,-1.65747322342213,0.0,-0.0,0.0
-0.0,-8.970556556758558,0.0,-17.93121,0.0
-0.0,-3.6108845874295517,0.0,-0.0,0.0
-0.0,-1.793897618433655,0.0,-0.3262899999999989,0.0
-0.0,-2.205994341090301,0.0,-2.600940000000001,0.0
-0.0,-7.615315402424285,0.0,-13.119270000000002,0.0
-0.0,-7.501842981433277,0.0,-4.432049999999999,0.0
-0.0,-3.334237180424633,0.0,-7.000160000000001,0.0
-0.0,-0.7830647037622835,0.0,-0.830799999999999,0.0
-0.0,-2.2145499447681622,0.0,-0.0,0.0
-0.0,-2.7003065567579174,0.0,-0.5132199999999989,0.0
-0.0,-3.764889890090708,0.0,-2.36845,0.0
-0.0,-3.272806556764408,0.0,-0.0,0.0
-0.0,-6.322806556760042,0.0,-0.0,0.0
-0.0,-5.033223223425914,0.0,-0.09581000000000046,0.0
-0.0,-12.889473223432084,0.0,-24.658680000000004,0.0
-0.0,-4.159139890089136,0.0,-0.0,0.0
-0.0,-3.9078065567628073,0.0,-0.0,0.0
-0.0,-2.6831398900940258,0.0,-0.0,0.0
-0.0,-1.5504732234294352,0.0,-0.0,0.0
