demand_heat,heat_balance,boiler,heat_pump,district_heating_industry
-0.0,0.0,0.1,0.10938800000000001,0.0
-0.0,0.0,0.1,0.071548,0.0
-0.0,0.0,0.1,0.065596,0.0
-0.0,0.0,0.08959600000000001,0.0,0.0
-0.0,0.0,0.1,0.023116,0.0
-0.0,0.0,0.1,0.0047159999999999945,0.0
-0.0,0.0,0.09886400000000001,0.0,0.0
-0.0,0.0,0.079816,0.0,0.0
-0.0,0.0,0.1,0.06257599999999999,0.0
-0.0,0.0,0.1,0.04921600000000001,0.0
-0.0,0.0,0.1,0.0036479999999999963,0.0
-0.0,0.0,0.1,0.06035599999999999,0.0
-0.0,0.0,0.1,0.034319999999999996,0.0
-0.0,0.0,0.073464,0.0,0.0
-0.0,0.0,0.058095999999999995,0.0,0.0
