demand_heat,heat_balance,heat_pump,district_heating_industry,district_heating
-0.0,0.0,0.0368,2.4494665460983263,-0.0
-0.0,0.0,0.0368,2.14928782948,-0.0
-0.0,0.0,0.0368,1.8631747655927342,-0.0
-0.0,0.0,0.0368,1.6403235885992677,-0.0
-0.0,0.0,0.0368,2.2261368172158,-0.0
-0.0,0.0,0.0368,1.5806366670377976,-0.0
-0.0,0.0,0.0368,2.163114865101666,-0.0
-0.0,0.0,0.0368,1.9333049220575997,-0.0
-0.0,0.0,0.0368,1.6614054173059003,-0.0
-0.0,0.0,0.0368,1.9123180867308742,-0.0
-0.0,0.0,0.0368,2.3163960616741295,-0.0
-0.0,0.0,0.0368,3.113942745959315,-0.0
-0.0,0.0,0.0368,1.3979190977807001,-0.0
-0.0,0.0,0.0368,1.8168997559117999,-0.0
