demand_electricity,electricity_balance,pv,soc,delta_battery,heat_pump,supply_grid_power
-0.0,-10.814,0.0,0.2,0.0,-0.0092,0.0
-0.0,-12.603333329999998,0.0,0.2,0.0,-0.0092,0.0
-0.0,-10.384083333,0.0,0.2,0.0,-0.0092,0.0
-0.0,-7.822,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.50675,0.0,0.2,0.0,-0.0092,0.0
-0.0,-6.70825,0.0,0.2,0.0,-0.0092,0.0
-0.0,-5.621083333,0.0,0.2,0.0,-0.0092,0.0
-0.0,-3.295436339,0.0,0.2,0.0,-0.003325745356,0.0
-0.0,-2.896686339,0.0,0.2,0.0,-0.003325745356,0.0
-0.0,-2.002,0.0,0.2,0.0,-0.0,0.0
-0.0,-2.613416667,0.0,0.2,0.0,-0.0,0.0
-0.0,-4.631083332999999,0.0,0.2,0.0,-0.0092,0.0
-0.0,-3.167416667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-2.3,0.0,0.3468125000000001,-0.8156250000000003,-0.0092,0.0
-0.0,-2.3,0.0,0.534395,-1.0421249999999993,-0.0092,0.0
-0.0,-2.3,0.0,0.6076850000599998,-0.4071666669999995,-0.0092,0.0
-0.0,-2.3,0.0,0.5858701851711108,0.09816666700000086,-0.0092,0.0
-0.0,-3.7150841667300005,0.0,0.2,1.7364158332699986,-0.0092,0.0
-0.0,-10.925666670000002,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.457583332999999,0.0,0.2,0.0,-0.0092,0.0
-0.0,-12.45583333,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.499875,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.119916667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-10.676041667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-11.775583333,0.0,0.2,0.0,-0.0092,0.0
-0.0,-12.35766667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-11.2485,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.307833333,0.0,0.2,0.0,-0.0092,0.0
-0.0,-7.7917499999999995,0.0,0.2,0.0,-0.0092,0.0
-0.0,-6.443333333,0.0,0.2,0.0,-0.0092,0.0
-0.0,-3.2083333337499997,0.0,0.2,0.0,-0.000916666667,0.0
-0.0,-3.51268633875,0.0,0.2,0.0,-0.0042424120230000004,0.0
-0.0,-2.562083333,0.0,0.2,0.0,-0.0,0.0
-0.0,-3.4375393445,0.0,0.2,0.0,-0.005734824046,0.0
-0.0,-3.099269672,0.0,0.2,0.0,-0.003325745356,0.0
-0.0,-4.4807500000000005,0.0,0.2,0.0,-0.0092,0.0
-0.0,-3.341416667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-2.3,0.0,0.20012000005999991,-0.0006666669999994607,-0.0092,0.0
-0.0,-2.3534599997300005,0.0,0.2,0.0005400002699995632,-0.0092,0.0
-0.0,-3.207916667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-2.3,0.0,0.29102000005999995,-0.5056666669999998,-0.0092,0.0
-0.0,-9.282659999729999,0.0,0.2,0.40959000026999987,-0.0092,0.0
-0.0,-9.41725,0.0,0.2,0.0,-0.0092,0.0
-0.0,-9.07825,0.0,0.2,0.0,-0.0092,0.0
-0.0,-10.078000000000001,0.0,0.2,0.0,-0.0092,0.0
-0.0,-7.61575,0.0,0.2,0.0,-0.0092,0.0
-0.0,-9.577416667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-9.582,0.0,0.2,0.0,-0.0092,0.0
-0.0,-11.930499999999999,0.0,0.2,0.0,-0.0092,0.0
-0.0,-11.433666667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-9.883583333,0.0,0.2,0.0,-0.0092,0.0
-0.0,-9.163083333,0.0,0.2,0.0,-0.0092,0.0
-0.0,-7.8,0.0,0.2,0.0,-0.0092,0.0
-0.0,-6.66975,0.0,0.2,0.0,-0.0092,0.0
-0.0,-3.19183333325,0.0,0.2,0.0,-0.001833333333,0.0
-0.0,-2.2825,0.0,0.2,0.0,-0.0,0.0
-0.0,-2.088166667,0.0,0.2,0.0,-0.0,0.0
-0.0,-1.8965833330000001,0.0,0.2,0.0,-0.0,0.0
-0.0,-2.071666667,0.0,0.2,0.0,-0.0,0.0
-0.0,-4.401916667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-4.787166666999999,0.0,0.2,0.0,-0.0092,0.0
-0.0,-4.911916667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-2.6582500000000002,0.0,0.2,0.0,-0.0092,0.0
-0.0,-3.5016666669999994,0.0,0.2,0.0,-0.0092,0.0
-0.0,-3.6015833329999998,0.0,0.2,0.0,-0.0092,0.0
-0.0,-4.420083332999999,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.09791667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-7.21225,0.0,0.2,0.0,-0.0092,0.0
-0.0,-9.153666667,0.0,0.2,0.0,-0.0092,0.0
-0.0,-8.157499999999999,0.0,0.2,0.0,-0.0092,0.0
