demand_heat,heat_pump,district_heating_industry,district_heating
-45.19212877,9.2,35.992128769999994,-0.0
-48.5763863,9.2,39.37638630000001,-0.0
-49.41319315,9.2,40.213193149999995,-0.0
-60.21064382,9.2,51.01064382,-0.0
-48.76851506,9.2,39.568515059999996,-0.0
-49.13425753,9.2,39.93425753,-0.0
-49.3263863,9.2,40.12638630000001,-0.0
-16.41319315,9.2,7.213193150000002,-0.0
-8.442128768,8.442128768,0.0,-0.0
-0.75,0.75,0.0,-0.0
-4.692128765,4.692128765,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
-50.54745068,9.2,41.347450679999994,-0.0
-67.41319315,9.2,58.213193149999995,-0.0
-67.51851506,9.2,58.318515059999996,-0.0
-55.13425753,9.2,45.93425753,-0.0
-61.13425753,9.2,51.93425753,-0.0
-52.41319315,9.2,43.213193149999995,-0.0
-49.41319315,9.2,40.213193149999995,-0.0
-49.69212877,9.2,40.492128769999994,-0.0
-69.6817082,9.2,60.4817082,-0.0
-47.63425753,9.2,38.43425753,-0.0
-51.85532191,9.2,42.65532191,-0.0
-61.98957944,9.2,52.78957944,-0.0
-55.3263863,9.2,46.12638630000001,-0.0
-69.12383697,9.2,59.923836969999996,-0.0
-74.28703011,9.2,65.08703011,-0.0
-56.46064382,9.2,47.26064382,-0.0
-53.0763863,9.2,43.87638630000001,-0.0
-29.46064382,9.2,20.260643820000002,-0.0
-3.471064382,3.471064382,0.0,-0.0
-3.0,3.0,0.0,-0.0
-3.471064382,3.471064382,0.0,-0.0
-0.75,0.75,0.0,-0.0
0.0,0.0,0.0,-0.0
-5.442128765,5.442128765,0.0,-0.0
-38.91319315,9.2,29.71319315,-0.0
-69.94212877,9.2,60.742128769999994,-0.0
-63.29745067,9.2,54.09745067,-0.0
-75.123837,9.2,65.92383699999999,-0.0
-56.63425753,9.2,47.43425753,-0.0
-55.88425753,9.2,46.68425753,-0.0
-59.0763863,9.2,49.87638630000001,-0.0
-50.44212877,9.2,41.242128769999994,-0.0
-45.10532191,9.2,35.90532191,-0.0
-70.13425753,9.2,60.93425753,-0.0
-56.63425753,9.2,47.43425753,-0.0
-57.38425753,9.2,48.18425753,-0.0
-53.16319315,9.2,43.963193149999995,-0.0
-71.65277258,9.2,62.45277258,-0.0
-49.22106438,9.2,40.02106438,-0.0
-50.91319315,9.2,41.713193149999995,-0.0
-47.44212877,9.2,38.242128769999994,-0.0
-10.97106438,9.2,1.7710643800000003,-0.0
-7.221064382,7.221064382,0.0,-0.0
-5.442128765,5.442128765,0.0,-0.0
-0.75,0.75,0.0,-0.0
-0.75,0.75,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
-43.60532191,9.2,34.40532191,-0.0
-98.54745068,9.2,78.49799999999999,10.849450680000004
-58.69212877,9.2,49.492128769999994,-0.0
-76.7106438,9.2,67.5106438,-0.0
-65.54745068,9.2,56.347450679999994,-0.0
-76.51851503,9.2,67.31851503,-0.0
-76.43170823,9.2,67.23170823,-0.0
-60.29745067,9.2,51.09745067,-0.0
-81.50809448,9.2,72.30809448,-0.0
-62.26851506,9.2,53.068515059999996,-0.0
-56.35532191,9.2,47.15532191,-0.0
